descriptor_dim,model_memory_mb,Tokyo247_R@1,Tokyo247_retrieval_latency,Tokyo247_descriptor_memory_mb,Tokyo247_total_memory_mb,id,MSLS_R@1,MSLS_retrieval_latency,MSLS_descriptor_memory_mb,MSLS_total_memory_mb,Pittsburgh30k_R@1,Pittsburgh30k_retrieval_latency,Pittsburgh30k_descriptor_memory_mb,Pittsburgh30k_total_memory_mb,SPEDTEST_R@1
2048,105.88688278198242,86.66666412353516,34.90095341112465,593.0,698.8868827819824,EigenPlaces,85.59185028076172,11.36716540204361,147.0,252.8868827819824,92.57628631591795,6.383503205142915,78.0,183.8868827819824,
2048,105.88688278198242,83.17460632324219,38.20887539768592,593.0,698.8868827819824,CosPlaces,84.0761489868164,11.146211996674538,147.0,252.8868827819824,90.69835662841795,6.254096410702914,78.0,183.8868827819824,
32,42.73440933227539,38.73015975952149,0.25734439259395,9.0,51.73440933227539,CosPlacesR18D32,64.79610443115234,0.1137440092861652,2.0,44.73440933227539,77.47946166992188,0.0821699970401823,1.0,43.73440933227539,
64,42.79703140258789,55.23809814453125,0.504657591227442,18.0,60.79703140258789,CosPlacesR18D64,74.05268859863281,0.117817404679954,4.0,46.79703140258789,86.01819610595703,0.0683796126395464,2.0,44.79703140258789,
12288,363.1842041015625,96.5079345703125,170.9584976080805,3561.0,3924.1842041015625,DinoV2_BoQ,89.8412094116211,109.6332173794508,884.0,1247.1842041015625,93.70598602294922,35.27418980374932,468.0,831.1842041015625,92.421745
16384,91.07637786865234,91.74603271484376,228.42079879483208,4749.0,4840.076377868652,ResNet50_BoQ,87.72103881835938,86.86730897752568,1179.0,1270.0763778686523,92.4735870361328,47.84669399959967,625.0,716.0763778686523,
8448,335.66089248657227,94.6031723022461,118.68040700210258,2448.0,2783.6608924865723,DinoSalad,88.25333404541016,47.5483707850799,608.0,943.6608924865724,92.3268814086914,25.623040017671883,322.0,657.6608924865723,
128,42.92227554321289,67.93650817871094,1.6958750085905194,37.0,79.92227554321289,CosPlacesR18D128,78.19379425048828,0.3454228048212826,9.0,51.92227554321289,88.07218170166016,0.1826073974370956,4.0,46.92227554321289,
32,90.12919235229492,43.4920654296875,0.3201644052751362,9.0,99.12919235229492,CosPlacesR50D32,68.31468963623047,0.1556451898068189,2.0,92.12919235229492,79.2840347290039,0.059787614736706,1.0,91.12919235229492,
64,90.37931442260742,62.85714340209961,0.5759930005297065,18.0,108.37931442260742,CosPlacesR50D64,77.46300506591797,0.1898029935546219,4.0,94.37931442260742,86.39965057373047,0.1131254015490412,2.0,92.37931442260742,
128,90.87955856323242,74.60317993164062,1.7251344048418105,37.0,127.87955856323242,CosPlacesR50D128,81.04475402832031,0.3721898188814521,9.0,99.87955856323242,89.45128631591797,0.172385002952069,4.0,94.87955856323242,
256,43.17276382446289,69.84127044677734,4.319147800561041,74.0,117.17276382446288,EigenPlacesR18D256,79.87188720703125,1.761991996318102,18.0,61.17276382446289,89.75939178466797,0.5311090149916708,9.0,52.17276382446289,
512,43.67374038696289,77.14286041259766,9.648622013628485,148.0,191.6737403869629,EigenPlacesR18D512,81.34247589111328,2.6480532251298428,36.0,79.67374038696289,90.30223083496094,1.4450319926254451,19.0,62.67374038696289,
128,90.87955856323242,75.23809814453125,2.1530878031626344,37.0,127.87955856323242,EigenPlacesR50D128,81.03572845458984,0.3786080051213503,9.0,99.87955856323242,89.97946166992188,0.1733731944113969,4.0,94.87955856323242,
256,91.88004684448242,78.4126968383789,3.415132605005056,74.0,165.88004684448242,EigenPlacesR50D256,83.1468734741211,1.6861605807207525,18.0,109.88004684448242,91.3438949584961,0.4525623982772231,9.0,100.88004684448242,
512,93.88102340698242,83.17460632324219,7.388200424611568,148.0,241.8810234069824,EigenPlacesR50D512,84.8610610961914,2.712728001642972,36.0,129.88102340698242,92.12147521972656,1.7805897979997098,19.0,112.88102340698242,
2048,105.88688278198242,,,,,EigenPlacesR50D2048,,,,,92.57628631591795,6.141299201408401,78.0,183.8868827819824,
12288,103.40513610839844,,,,,TeTRA-vitbaset322_boq-DD[1],,,,,91.22652435302734,33.89646080031525,468.0,571.4051361083984,
